tract_geoid,STATEFP,COUNTYFP,centroid_lat,centroid_lon,storm_id,storm_name,storm_time,distance_nm,distance_km,nearest_quadrant,radius_64_nm,within_64kt,storm_tract_id,max_wind_experienced_kt,center_wind_at_approach_kt,distance_to_envelope_edge_nm,nearest_track_point_lat,nearest_track_point_lon,radius_max_wind_at_approach_nm,inside_eyewall,wind_source,first_entry_time,last_exit_time,duration_in_envelope_hours,exposure_window_hours,continuous_exposure,interpolated_points_count,duration_source,lead_time_cat1_hours,lead_time_cat2_hours,lead_time_cat3_hours,lead_time_cat4_hours,lead_time_cat5_hours,max_intensification_rate_kt_per_24h,time_of_max_intensification,cat4_first_time
22109000900,22,109,29.581321579780155,-90.72482074480673,AL092021,IDA,2021-08-30 00:00:00,12.453949820003444,23.064713690945357,SW,20.0,True,AL092021_22109000900,109.54964476233796,112.47493384092115,15.043854028063413,29.638344298802295,-90.52524122822922,10.0,False,rmw_decay_to_64kt,2021-08-29 18:45:00,2021-08-30 01:30:00,6.5,6.75,False,887,timeline,54.0,24.0,18.0,18.0,,60.0,2021-08-29 12:00:00,2021-08-29 06:00:00
22033005000,22,033,30.381561158373223,-91.1245141705193,AL092021,IDA,2021-08-30 06:00:00,22.32227467508505,41.34085023247144,SW,,,AL092021_22033005000,71.64070514148494,71.64070514148494,5.288579629409565,30.4837678329728,-90.7667908094208,26.67964742925753,True,rmw_plateau,2021-08-30 04:15:00,2021-08-30 07:15:00,2.25,3.0,False,887,timeline,60.0,30.0,24.0,24.0,,60.0,2021-08-29 12:00:00,2021-08-29 06:00:00
22063040202,22,063,30.565581480579233,-90.72070782306511,AL092021,IDA,2021-08-30 06:00:00,4.007149950458038,7.421241265606365,SE,30.0,True,AL092021_22063040202,68.01462967248882,68.01462967248882,26.58100812787802,30.54723400134517,-90.78492400038434,28.492685163755585,True,rmw_plateau,2021-08-30 03:00:00,2021-08-30 09:00:00,6.25,6.0,True,887,timeline,60.0,30.0,24.0,24.0,,60.0,2021-08-29 12:00:00,2021-08-29 06:00:00
22063040402,22,063,30.503598329803015,-90.84341489120852,AL092021,IDA,2021-08-30 06:00:00,4.093681988935663,7.5814985913083355,SW,,,AL092021_22063040402,69.4367923252031,69.4367923252031,20.86660309641469,30.52234201202391,-90.7778120034354,27.78160383739845,True,rmw_plateau,2021-08-30 02:45:00,2021-08-30 08:30:00,6.0,5.75,True,887,timeline,60.0,30.0,24.0,24.0,,60.0,2021-08-29 12:00:00,2021-08-29 06:00:00
22063040401,22,063,30.498032545507293,-90.88711701834775,AL092021,IDA,2021-08-30 06:00:00,6.706662809729557,12.42073878278085,SW,,,AL092021_22063040401,69.07123788563705,69.07123788563705,18.52564823473161,30.528740245032566,-90.77964007000931,27.964381057181473,True,rmw_plateau,2021-08-30 02:45:00,2021-08-30 08:30:00,6.0,5.75,True,887,timeline,60.0,30.0,24.0,24.0,,60.0,2021-08-29 12:00:00,2021-08-29 06:00:00
22063040304,22,063,30.56018456636498,-90.88403182521682,AL092021,IDA,2021-08-30 06:00:00,5.50420518875293,10.193787401559248,SW,,,AL092021_22063040304,65.83488472428311,65.83488472428311,19.056316683097247,30.585386590658864,-90.79582474018824,29.582557637858443,True,rmw_plateau,2021-08-30 03:15:00,2021-08-30 09:00:00,6.0,5.75,True,887,timeline,60.0,30.0,24.0,24.0,,60.0,2021-08-29 12:00:00,2021-08-29 06:00:00
22063040806,22,063,30.39022808954237,-90.91342614239912,AL092021,IDA,2021-08-30 06:00:00,10.001443682842899,18.522672595835285,SW,,,AL092021_22063040806,74.3687292364658,74.3687292364658,16.495869978353902,30.43602155436158,-90.75314901553187,25.315635381767102,True,rmw_plateau,2021-08-30 02:15:00,2021-08-30 07:45:00,5.75,5.5,True,887,timeline,60.0,30.0,24.0,24.0,,60.0,2021-08-29 12:00:00,2021-08-29 06:00:00
22063040805,22,063,30.447024680468143,-90.93331230071878,AL092021,IDA,2021-08-30 06:00:00,10.212511318707662,18.913569834141654,SW,,,AL092021_22063040805,71.06840075106463,71.06840075106463,15.782824973988848,30.49378455760381,-90.76965273074394,26.965799624467685,True,rmw_plateau,2021-08-30 02:45:00,2021-08-30 08:15:00,5.75,5.5,True,887,timeline,60.0,30.0,24.0,24.0,,60.0,2021-08-29 12:00:00,2021-08-29 06:00:00
22063040303,22,063,30.569086958583977,-90.9352505708632,AL092021,IDA,2021-08-30 06:00:00,8.324301710911465,15.416605849080451,SW,,,AL092021_22063040303,65.0,65.0,16.212683642566038,30.6,-90.8,30.0,True,rmw_plateau,2021-08-30 03:30:00,2021-08-30 09:00:00,5.75,5.5,True,887,timeline,60.0,30.0,24.0,24.0,,60.0,2021-08-29 12:00:00,2021-08-29 06:00:00
22063040201,22,063,30.52312580027605,-90.79132719407133,AL092021,IDA,2021-08-30 06:00:00,0.7667913756430099,1.4200975429887563,SE,30.0,True,AL092021_22063040201,69.1914211343965,69.1914211343965,23.7325152564618,30.52663669680236,-90.77903905622924,27.904289432801747,True,rmw_plateau,2021-08-30 02:45:00,2021-08-30 08:45:00,6.25,6.0,True,887,timeline,60.0,30.0,24.0,24.0,,60.0,2021-08-29 12:00:00,2021-08-29 06:00:00
