tract_geoid,STATEFP,COUNTYFP,centroid_lat,centroid_lon,storm_id,storm_name,storm_time,distance_nm,distance_km,nearest_quadrant,radius_64_nm,within_64kt,storm_tract_id,max_wind_experienced_kt,center_wind_at_approach_kt,distance_to_envelope_edge_nm,nearest_track_point_lat,nearest_track_point_lon,radius_max_wind_at_approach_nm,inside_eyewall,wind_source,first_entry_time,last_exit_time,duration_in_envelope_hours,exposure_window_hours,continuous_exposure,interpolated_points_count,duration_source,lead_time_cat1_hours,lead_time_cat2_hours,lead_time_cat3_hours,lead_time_cat4_hours,lead_time_cat5_hours,max_intensification_rate_kt_per_24h,time_of_max_intensification,cat4_first_time
22109000900,22,109,29.581321579780155,-90.72482074480673,AL072008,GUSTAV,2008-09-01 15:00:00,16.40206802816855,30.37662817634604,NW,30.0,True,AL072008_22109000900,88.55040932085478,88.55040932085478,15.834464094191931,29.373765272399627,-90.9027261511329,25.0,True,rmw_plateau,2008-09-01 14:00:00,2008-09-01 17:15:00,3.5,3.25,True,1105,timeline,153.0,57.0,51.0,45.0,,60.0,2008-08-30 12:00:00,2008-08-30 18:00:00
22003950400,22,003,30.650849978168424,-92.69516870403721,AL072008,GUSTAV,2008-09-02 00:00:00,17.832574408123023,33.02592583400365,SW,,,AL072008_22003950400,55.00689143291717,55.00689143291717,1.5278827945735856,30.874522976604748,-92.49945483040543,25.0,True,rmw_plateau,2008-09-02 00:00:00,2008-09-02 00:00:00,0.25,0.0,True,1105,timeline,162.0,66.0,60.0,54.0,,60.0,2008-08-30 12:00:00,2008-08-30 18:00:00
22003950200,22,003,30.853680337609486,-92.63406179789388,AL072008,GUSTAV,2008-09-02 00:00:00,6.259499562382686,11.592592498089452,NW,,,AL072008_22003950200,53.35793675896921,53.35793675896921,10.411696191094512,30.93219289579577,-92.56536330948087,25.0,True,rmw_plateau,2008-09-02 00:00:00,2008-09-02 00:00:00,0.25,0.0,True,1105,timeline,162.0,66.0,60.0,54.0,,60.0,2008-08-30 12:00:00,2008-08-30 18:00:00
22003950300,22,003,30.810981593583204,-92.6624757726984,AL072008,GUSTAV,2008-09-02 00:00:00,9.31018834142701,17.242467779891218,NW,,,AL072008_22003950300,53.484704185329335,53.484704185329335,7.692848412095575,30.92775877306803,-92.56029574064918,25.0,True,rmw_plateau,2008-09-02 00:00:00,2008-09-02 00:00:00,0.25,0.0,True,1105,timeline,162.0,66.0,60.0,54.0,,60.0,2008-08-30 12:00:00,2008-08-30 18:00:00
22101041300,22,101,29.80852598418601,-91.52579328588124,AL072008,GUSTAV,2008-09-01 18:00:00,4.975230254408422,9.214125881585394,NW,25.0,True,AL072008_22101041300,85.4304890598483,85.4304890598483,25.60896046409489,29.86715963503362,-91.46715963503362,25.0,True,rmw_plateau,2008-09-01 16:15:00,2008-09-01 20:30:00,4.5,4.25,True,1105,timeline,156.0,60.0,54.0,48.0,,60.0,2008-08-30 12:00:00,2008-08-30 18:00:00
22101041400,22,101,29.821490675029384,-91.47855822080055,AL072008,GUSTAV,2008-09-01 18:00:00,2.4211709160277395,4.484008269033501,NW,25.0,True,AL072008_22101041400,85.33537744236561,85.33537744236561,28.016695617990138,29.850024447914965,-91.45002444791497,25.0,True,rmw_plateau,2008-09-01 16:15:00,2008-09-01 20:30:00,4.5,4.25,True,1105,timeline,156.0,60.0,54.0,48.0,,60.0,2008-08-30 12:00:00,2008-08-30 18:00:00
22101041500,22,101,29.787840141774076,-91.49639708164804,AL072008,GUSTAV,2008-09-01 18:00:00,4.6056808997842635,8.529720517642993,SW,30.0,True,AL072008_22101041500,85.28848610370889,85.28848610370889,26.077609274991502,29.842118611711058,-91.44211861171107,25.0,True,rmw_plateau,2008-09-01 16:15:00,2008-09-01 20:15:00,4.25,4.0,True,1105,timeline,156.0,60.0,54.0,48.0,,60.0,2008-08-30 12:00:00,2008-08-30 18:00:00
22101041600,22,101,29.783728165317083,-91.50938964962658,AL072008,GUSTAV,2008-09-01 18:00:00,5.331365261352732,9.873687875106505,SW,30.0,True,AL072008_22101041600,85.31506941016694,85.31506941016694,25.293039571601145,29.84655890747183,-91.44655890747184,25.0,True,rmw_plateau,2008-09-01 16:15:00,2008-09-01 20:15:00,4.25,4.0,True,1105,timeline,156.0,60.0,54.0,48.0,,60.0,2008-08-30 12:00:00,2008-08-30 18:00:00
22109001000,22,109,29.55832528356924,-90.60707073087961,AL072008,GUSTAV,2008-09-01 15:00:00,19.952304241768825,36.9516652517639,NE,35.0,True,AL072008_22109001000,90.90637779563035,90.90637779563035,13.611170748323506,29.305843304769837,-90.82348385556482,25.0,True,rmw_plateau,2008-09-01 13:30:00,2008-09-01 16:45:00,3.5,3.25,True,1105,timeline,153.0,57.0,51.0,45.0,,60.0,2008-08-30 12:00:00,2008-08-30 18:00:00
22109000102,22,109,29.702239528162963,-90.78489254505944,AL072008,GUSTAV,2008-09-01 15:00:00,19.564880503869663,36.234156531970655,NW,30.0,True,AL072008_22109000102,87.87599558015539,87.87599558015539,11.47942795154593,29.454660116545444,-90.99710346930303,25.0,True,rmw_plateau,2008-09-01 15:15:00,2008-09-01 17:30:00,2.5,2.25,True,1105,timeline,153.0,57.0,51.0,45.0,,60.0,2008-08-30 12:00:00,2008-08-30 18:00:00
